bin_left,bin_right,density
1559.44873046875,2291.8474365234374,6.60879247213972e-08
2291.8474365234374,3024.246142578125,7.732287192403472e-07
3024.246142578125,3756.6448486328127,5.181293298157538e-06
3756.6448486328127,4489.0435546875,1.709694612542547e-05
4489.0435546875,5221.4422607421875,3.3407445946666266e-05
5221.4422607421875,5953.840966796875,4.982368644746132e-05
5953.840966796875,6686.239672851562,6.657697536433558e-05
6686.239672851562,7418.63837890625,8.868338618364286e-05
7418.63837890625,8151.037084960938,0.00010850315480758987
8151.037084960938,8883.435791015625,0.00012402059953217406
8883.435791015625,9615.834497070313,0.00013146870864827538
9615.834497070313,10348.233203125,0.00012784709037354282
10348.233203125,11080.631909179689,0.00012178682767659069
11080.631909179689,11813.030615234375,0.00010841724050545231
11813.030615234375,12545.429321289062,9.165073400363358e-05
12545.429321289062,13277.82802734375,7.450752633090316e-05
13277.82802734375,14010.226733398438,5.831598477416086e-05
14010.226733398438,14742.625439453126,4.423925680850326e-05
14742.625439453126,15475.024145507812,3.1471069752329405e-05
15475.024145507812,16207.4228515625,2.2436850442914336e-05
16207.4228515625,16939.821557617186,1.5695882121331866e-05
16939.821557617186,17672.220263671876,1.0891289994086226e-05
17672.220263671876,18404.61896972656,7.63976409779353e-06
18404.61896972656,19137.01767578125,5.115205373436128e-06
19137.01767578125,19869.416381835938,3.615009482260434e-06
19869.416381835938,20601.815087890627,2.7360400834658355e-06
20601.815087890627,21334.213793945313,1.956202571753361e-06
21334.213793945313,22066.6125,1.2754969471229684e-06
22066.6125,22799.01120605469,1.017754040709514e-06
22799.01120605469,23531.409912109375,7.798375117124885e-07
23531.409912109375,24263.808618164065,5.881825300204333e-07
24263.808618164065,24996.20732421875,5.088770203547594e-07
24996.20732421875,25728.606030273437,3.8330996338410454e-07
25728.606030273437,26461.004736328126,4.097451332726614e-07
26461.004736328126,27193.403442382812,3.3043962360698666e-07
27193.403442382812,27925.802148437502,3.568747934955438e-07
27925.802148437502,28658.20085449219,3.8991875585624424e-07
28658.20085449219,29390.599560546874,3.8991875585624424e-07
29390.599560546874,30122.998266601564,4.361803031612202e-07
30122.998266601564,30855.39697265625,2.9078686877414824e-07
30855.39697265625,31587.79567871094,4.493978881054996e-07
31587.79567871094,32320.194384765626,3.172220386627072e-07
32320.194384765626,33052.593090820315,3.5026600102340413e-07
33052.593090820315,33784.991796875,4.295715106890826e-07
33784.991796875,34517.39050292969,3.767011709119648e-07
34517.39050292969,35249.78920898437,4.097451332726634e-07
35249.78920898437,35982.18791503907,3.106132461905644e-07
35982.18791503907,36714.58662109375,3.3043962360698666e-07
36714.58662109375,37446.98532714844,2.97395661246288e-07
37446.98532714844,38179.384033203125,2.511341139413098e-07
38179.384033203125,38911.78273925781,2.1148135910847143e-07
38911.78273925781,39644.181445312504,1.7843739674777101e-07
39644.181445312504,40376.58015136719,8.591430213781653e-08
40376.58015136719,41108.97885742188,1.255670569706549e-07
41108.97885742188,41841.37756347656,7.269671719353706e-08
41841.37756347656,42573.77626953125,5.947913224925759e-08
42573.77626953125,43306.17497558594,6.608792472139668e-09
43306.17497558594,44038.57368164063,1.98263774164192e-08
44038.57368164063,44770.972387695314,6.608792472139732e-09
44770.972387695314,45503.37109375,6.608792472139732e-09
