bin_left,bin_right,density
1559.44873046875,2291.8474365234374,6.520422754269657e-08
2291.8474365234374,3024.246142578125,7.628894622495498e-07
3024.246142578125,3756.6448486328127,5.131572707610217e-06
3756.6448486328127,4489.0435546875,1.69139766245755e-05
4489.0435546875,5221.4422607421875,3.323459477851242e-05
5221.4422607421875,5953.840966796875,4.958781504622071e-05
5953.840966796875,6686.239672851562,6.631269941092246e-05
6686.239672851562,7418.63837890625,8.845605508442213e-05
7418.63837890625,8151.037084960938,0.00010838246702147018
8151.037084960938,8883.435791015625,0.0001238163076808266
8883.435791015625,9615.834497070313,0.0001314126001895506
9615.834497070313,10348.233203125,0.00012811978669864443
10348.233203125,11080.631909179689,0.00012176237451323151
11080.631909179689,11813.030615234375,0.00010896930506935473
11813.030615234375,12545.429321289062,9.207488971304177e-05
12545.429321289062,13277.82802734375,7.473056518668449e-05
13277.82802734375,14010.226733398438,5.855339633334149e-05
14010.226733398438,14742.625439453126,4.418890500568544e-05
14742.625439453126,15475.024145507812,3.155232570791093e-05
15475.024145507812,16207.4228515625,2.237157046989918e-05
16207.4228515625,16939.821557617186,1.5688137146772827e-05
16939.821557617186,17672.220263671876,1.0882585576876024e-05
17672.220263671876,18404.61896972656,7.6288946224955135e-06
18404.61896972656,19137.01767578125,5.0794093255760475e-06
19137.01767578125,19869.416381835938,3.5992733603568574e-06
19869.416381835938,20601.815087890627,2.712495865776169e-06
20601.815087890627,21334.213793945313,1.9430859807723615e-06
21334.213793945313,22066.6125,1.2714824370825857e-06
22066.6125,22799.01120605469,1.0106655269117937e-06
22799.01120605469,23531.409912109375,7.69409885003821e-07
23531.409912109375,24263.808618164065,5.868380478842673e-07
24263.808618164065,24996.20732421875,5.020725520787645e-07
24996.20732421875,25728.606030273437,3.781845197476409e-07
25728.606030273437,26461.004736328126,4.1078663351898715e-07
26461.004736328126,27193.403442382812,3.260211377134835e-07
27193.403442382812,27925.802148437502,3.521028287305604e-07
27925.802148437502,28658.20085449219,3.977457880104499e-07
28658.20085449219,29390.599560546874,3.912253652561802e-07
29390.599560546874,30122.998266601564,4.368683245360657e-07
30122.998266601564,30855.39697265625,3.064598694506745e-07
30855.39697265625,31587.79567871094,4.564295927988746e-07
31587.79567871094,32320.194384765626,3.3254156046775317e-07
32320.194384765626,33052.593090820315,3.521028287305604e-07
33052.593090820315,33784.991796875,4.238274790275285e-07
33784.991796875,34517.39050292969,3.781845197476409e-07
34517.39050292969,35249.78920898437,4.1078663351898916e-07
35249.78920898437,35982.18791503907,3.195007149592106e-07
35982.18791503907,36714.58662109375,3.260211377134835e-07
36714.58662109375,37446.98532714844,2.9341902394213515e-07
37446.98532714844,38179.384033203125,2.4777606466224744e-07
38179.384033203125,38911.78273925781,2.086535281366294e-07
38911.78273925781,39644.181445312504,1.7605141436527932e-07
39644.181445312504,40376.58015136719,8.47654958055057e-08
40376.58015136719,41108.97885742188,1.2388803233112372e-07
41108.97885742188,41841.37756347656,7.172465029696637e-08
41841.37756347656,42573.77626953125,5.8683804788427024e-08
42573.77626953125,43306.17497558594,6.520422754269605e-09
43306.17497558594,44038.57368164063,1.956126826280901e-08
44038.57368164063,44770.972387695314,6.520422754269669e-09
44770.972387695314,45503.37109375,6.520422754269669e-09
