bin_left,bin_right,density
1559.44873046875,2291.8474365234374,6.621612632124472e-08
2291.8474365234374,3024.246142578125,7.747286779585633e-07
3024.246142578125,3756.6448486328127,5.178101078321334e-06
3756.6448486328127,4489.0435546875,1.7116868654041774e-05
4489.0435546875,5221.4422607421875,3.3412657341700066e-05
5221.4422607421875,5953.840966796875,4.9840878282000876e-05
5953.840966796875,6686.239672851562,6.660017985390799e-05
6686.239672851562,7418.63837890625,8.87097444325715e-05
7418.63837890625,8151.037084960938,0.0001085480958784164
8151.037084960938,8883.435791015625,0.00012409564233864482
8883.435791015625,9615.834497070313,0.0001316045510634738
9615.834497070313,10348.233203125,0.00012788320476421987
10348.233203125,11080.631909179689,0.00012171848340371197
11080.631909179689,11813.030615234375,0.00010839579878787782
11813.030615234375,12545.429321289062,9.162325399070626e-05
12545.429321289062,13277.82802734375,7.445341243560753e-05
13277.82802734375,14010.226733398438,5.825032632479895e-05
14010.226733398438,14742.625439453126,4.4205885932062955e-05
14742.625439453126,15475.024145507812,3.147252484048768e-05
15475.024145507812,16207.4228515625,2.24075371471092e-05
16207.4228515625,16939.821557617186,1.566673548760653e-05
16939.821557617186,17672.220263671876,1.0866066329316226e-05
17672.220263671876,18404.61896972656,7.63471936483953e-06
18404.61896972656,19137.01767578125,5.118506564632201e-06
19137.01767578125,19869.416381835938,3.615400497139969e-06
19869.416381835938,20601.815087890627,2.7413476296995232e-06
20601.815087890627,21334.213793945313,1.9599973391088476e-06
21334.213793945313,22066.6125,1.2647280127357768e-06
22066.6125,22799.01120605469,1.013106732715041e-06
22799.01120605469,23531.409912109375,7.813502905906893e-07
23531.409912109375,24263.808618164065,5.893235242590762e-07
24263.808618164065,24996.20732421875,5.098641726735853e-07
24996.20732421875,25728.606030273437,3.8405353266322013e-07
25728.606030273437,26461.004736328126,4.10539983191716e-07
26461.004736328126,27193.403442382812,3.3108063160622427e-07
27193.403442382812,27925.802148437502,3.5756708213472037e-07
27925.802148437502,28658.20085449219,3.9067514529534463e-07
28658.20085449219,29390.599560546874,3.9067514529534463e-07
29390.599560546874,30122.998266601564,4.370264337202138e-07
30122.998266601564,30855.39697265625,2.9135095581347736e-07
30855.39697265625,31587.79567871094,4.502696589844627e-07
31587.79567871094,32320.194384765626,3.1783740634197526e-07
32320.194384765626,33052.593090820315,3.50945469502596e-07
33052.593090820315,33784.991796875,4.304048210880915e-07
33784.991796875,34517.39050292969,3.708103073989712e-07
34517.39050292969,35249.78920898437,3.9729675792746913e-07
35249.78920898437,35982.18791503907,3.045941810777233e-07
35982.18791503907,36714.58662109375,3.2445901897409977e-07
36714.58662109375,37446.98532714844,2.9135095581347736e-07
37446.98532714844,38179.384033203125,2.516212800207304e-07
38179.384033203125,38911.78273925781,2.118916042279835e-07
38911.78273925781,39644.181445312504,1.787835410673593e-07
39644.181445312504,40376.58015136719,8.60809642176183e-08
40376.58015136719,41108.97885742188,1.258106400103652e-07
41108.97885742188,41841.37756347656,7.283773895336934e-08
41841.37756347656,42573.77626953125,5.959451368912036e-08
42573.77626953125,43306.17497558594,6.62161263212442e-09
43306.17497558594,44038.57368164063,1.9864837896373454e-08
44038.57368164063,44770.972387695314,6.621612632124484e-09
44770.972387695314,45503.37109375,6.621612632124484e-09
