Layer,pruned_x,pruned_y,mean_x,mean_y
8,-123.85591,26.304571,-123.80723,26.196888
9,-123.85609,26.253883,-123.80061,26.21012
10,-123.911446,26.456156,-123.84481,26.367167
11,-123.957245,26.674847,-123.911156,26.608557
12,-124.0532,27.082783,-123.974,26.885525
13,-124.114456,27.429909,-124.014244,27.171963
14,-124.159325,27.885939,-124.0646,27.578959
15,-124.27925,28.24894,-124.17918,27.975668
16,-124.39973,28.836473,-124.31793,28.716898
17,-124.27919,29.206287,-124.28306,29.167942
18,-124.30593,29.063215,-124.290695,29.111221
19,-124.26477,29.304329,-124.25847,29.313004
20,-124.48581,29.302444,-124.33291,29.655354
21,-124.19465,28.798496,-124.04866,29.088558
22,-124.21271,27.81118,-123.85258,28.024923
23,-123.989426,26.52047,-123.38533,26.67059
24,-123.9529,24.39684,-122.89994,24.429768
25,-123.11791,23.034134,-121.87075,22.91894
26,-122.71636,21.950039,-121.67598,21.910658
27,-120.086174,20.875599,-118.26792,20.429712
28,-114.15175,19.441322,-110.13129,19.590324
29,-103.99161,17.635609,-98.562454,18.126402
30,-92.07467,17.053381,-50.167786,19.723783
31,-88.9457,12.643558,-23.861334,15.951673
32,-71.89029,8.873411,14.854713,13.208499
33,-73.04062,1.58748,99.021355,11.587406
34,-88.133705,-6.6737304,159.14647,7.023717
35,-107.47527,-16.69073,194.14964,0.037980653
36,-115.284645,-24.348541,232.22644,-5.793911
37,-112.81866,-29.05134,267.62094,-12.953862
38,-111.789986,-43.52633,271.44345,-30.171844
39,-102.550285,-64.914276,285.91132,-53.87918
40,-103.83666,-89.895226,308.0238,-74.050835
41,-103.601105,-105.03374,320.625,-92.888145
42,-103.69048,-120.948006,330.59277,-103.78638
43,-100.538895,-131.54062,339.79944,-115.73906
44,-96.98752,-143.38774,345.0865,-134.08511
