Layer,pruned_x,pruned_y,mean_x,mean_y
8,52.011436,-22.40775,51.9992,-22.338257
9,51.893646,-22.28958,51.91343,-22.269314
10,52.135883,-22.646355,52.143524,-22.59483
11,52.411022,-23.099682,52.313946,-22.906933
12,52.330967,-23.02201,52.407806,-23.07872
13,52.710453,-23.654697,52.555626,-23.383268
14,53.35873,-24.68533,52.9421,-24.0369
15,53.453568,-24.999258,52.9482,-24.293568
16,53.76954,-25.69971,53.024628,-24.626064
17,53.93445,-26.143684,53.134834,-24.99368
18,53.213516,-25.579262,52.31958,-24.280323
19,52.827145,-25.438286,52.147484,-24.472788
20,52.06993,-24.675518,51.0638,-23.242828
21,50.24041,-23.253439,49.109272,-21.660618
22,47.6016,-20.744143,46.80794,-19.5704
23,45.617386,-18.449245,44.303345,-16.853458
24,42.76763,-15.063568,41.376595,-13.859314
25,39.900143,-11.410902,38.4137,-10.586809
26,37.57332,-8.663253,35.805145,-7.53676
27,34.679573,-3.9918664,32.882,-3.4854496
28,32.137897,1.6596022,29.045218,4.202753
29,28.254921,10.181036,23.861586,14.908342
30,24.224794,19.53906,17.22863,28.594446
31,19.963423,29.98851,9.727507,42.205482
32,15.405645,37.1911,2.899013,52.40022
33,9.33119,43.724365,-4.8013744,61.101604
34,6.5285993,44.455536,-8.928762,62.73986
35,2.8604622,42.979485,-15.108149,63.403687
36,-2.302578,41.216923,-21.589672,61.813892
37,-11.2663555,40.749203,-36.0604,64.41612
38,-29.361998,36.975357,-58.67284,60.467213
39,-50.94416,22.356009,-88.898796,46.328697
40,-72.36509,3.7177782,-117.80034,19.718033
41,-99.254364,-16.676504,-149.57379,-7.794973
42,-109.452034,-29.613333,-175.08727,-31.121195
43,-120.81163,-39.796402,-199.29118,-53.904724
44,-135.63495,-50.792416,-225.74295,-71.60295
