Layer,pruned_x,pruned_y,mean_x,mean_y
8,35.70606,14.352734,35.59999,14.17177
9,35.89019,14.960213,35.812424,14.874608
10,36.121418,15.570167,35.97637,15.341162
11,36.421394,16.578873,36.25538,16.309738
12,36.621742,17.24457,36.42734,16.804567
13,36.644398,17.507158,36.470776,17.12795
14,36.899452,17.961784,36.62277,17.671883
15,37.210003,18.986753,36.89338,18.666471
16,37.569603,20.248161,37.275085,20.13732
17,37.480404,20.438257,37.35877,20.836044
18,37.618473,21.813324,37.3571,21.660847
19,37.39057,22.011618,37.24871,22.292934
20,36.956593,21.47384,36.986565,22.09816
21,36.642464,22.483133,36.71331,23.09527
22,35.820152,21.540392,35.79579,22.487667
23,34.608967,20.680641,34.665913,21.391735
24,33.29488,21.111807,33.402622,20.719614
25,31.763544,19.691128,31.974415,19.998077
26,30.883009,19.004025,31.172222,20.052525
27,29.25113,18.01453,29.65747,19.120558
28,26.158426,13.243573,26.758255,14.674814
29,22.258503,7.3907685,22.533535,9.064538
30,18.33236,2.556391,18.087591,0.91002864
31,10.950599,-8.624276,12.3881855,-9.022745
32,6.767258,-21.202696,6.3227916,-18.620861
33,4.070443,-32.564663,2.4622235,-28.184982
34,1.1067427,-48.23146,-2.5397224,-37.246197
35,0.41063753,-60.312084,-7.662558,-45.57817
36,1.613805,-62.948433,-14.0794935,-46.937473
37,-1.0443116,-64.27709,-25.176834,-49.298595
38,-7.908688,-69.02997,-43.226265,-50.158386
39,-27.043217,-72.675,-65.29004,-45.960358
40,-37.843506,-70.86588,-88.99726,-37.2797
41,-49.60218,-63.591145,-113.66052,-23.75468
42,-62.94297,-64.27572,-141.04814,-8.3665285
43,-74.670654,-56.788315,-160.54776,5.470378
44,-85.28287,-49.450077,-181.60287,19.427307
