Layer,pruned_x,pruned_y,mean_x,mean_y
8,30.598757,-21.334534,30.42811,-21.164589
9,31.126242,-21.90827,30.98792,-21.759655
10,31.430008,-22.204544,31.33912,-22.093325
11,32.289745,-23.074121,32.222706,-22.991093
12,32.75229,-23.53446,32.71319,-23.487255
13,33.286087,-23.783382,33.318436,-23.819696
14,34.23083,-24.305048,34.017952,-24.142841
15,35.17752,-24.986734,34.794575,-24.629086
16,35.961376,-25.374613,35.778725,-25.20645
17,36.037365,-25.103298,35.938107,-25.064075
18,35.835777,-24.277472,35.834843,-24.408747
19,36.78757,-24.273508,36.57702,-24.34882
20,36.310238,-22.79929,36.216103,-23.117792
21,35.909428,-20.649385,35.72653,-21.044558
22,35.185722,-18.613195,35.291397,-19.351788
23,34.015747,-15.688315,34.639927,-16.952713
24,31.457365,-11.47006,32.49187,-13.158933
25,30.255363,-8.474178,31.111034,-10.169531
26,30.313662,-7.515467,31.380468,-9.220688
27,28.089851,-2.4918578,29.494549,-4.747489
28,26.035654,4.5469804,26.692951,3.0643237
29,24.638945,12.202755,24.589596,11.475762
30,21.356398,22.282349,21.17537,20.485523
31,16.182434,33.412926,16.58009,31.010828
32,11.00125,39.487247,11.383394,38.817204
33,4.6631446,43.78983,5.42607,41.837082
34,-1.6863256,51.693638,-0.15092807,44.8982
35,-10.117813,58.731655,-6.180117,43.697384
36,-19.140327,66.570274,-13.305806,46.745613
37,-31.163336,74.14026,-24.512983,49.00764
38,-48.732647,74.81664,-44.84771,45.975685
39,-64.76609,65.18639,-64.539665,34.21218
40,-81.22862,56.96433,-88.33435,19.8084
41,-93.63322,47.73393,-109.55864,3.7067673
42,-101.956894,37.960888,-128.26558,-11.36855
43,-104.18399,32.760532,-139.19347,-21.066486
44,-116.42059,23.31216,-167.05069,-36.801544
