Layer,pruned_x,pruned_y,mean_x,mean_y
8,-32.422726,-13.200596,-32.6717,-13.491147
9,-32.350616,-13.093517,-32.864662,-13.623503
10,-32.735806,-13.320721,-33.24608,-13.892397
11,-33.098278,-13.633662,-33.54278,-14.175669
12,-33.23603,-13.756791,-33.4749,-14.126009
13,-33.69597,-14.1776905,-33.62022,-14.305432
14,-34.323067,-14.604616,-33.99187,-14.527774
15,-34.54455,-14.691119,-34.037422,-14.446083
16,-35.109894,-15.081326,-34.40687,-14.646179
17,-36.17974,-15.877641,-34.90111,-14.947828
18,-36.29222,-15.86762,-34.914516,-14.910906
19,-36.2305,-15.636535,-35.193993,-15.085157
20,-36.213444,-15.307665,-34.957123,-14.660817
21,-35.050922,-14.022696,-34.173172,-13.759825
22,-33.980667,-12.564183,-32.818165,-12.296818
23,-33.07264,-11.083575,-30.91389,-10.218313
24,-31.520723,-9.080514,-29.363415,-8.380674
25,-30.477488,-7.8974347,-27.970028,-6.8722715
26,-28.082739,-5.2422276,-26.980042,-5.58415
27,-25.276554,-1.763494,-24.420874,-2.25156
28,-21.864819,3.4223208,-21.66212,2.5784307
29,-16.771801,12.373465,-17.567118,10.463766
30,-12.338367,19.405685,-12.047136,18.37953
31,-5.7362976,28.992813,-5.8127,26.903189
32,1.3476621,38.397465,0.47490978,33.670902
33,9.30018,45.15484,6.8329,37.68238
34,18.002666,51.58838,12.151066,39.249664
35,22.98147,53.231445,17.78475,38.347954
36,27.620234,53.094482,22.188148,36.95308
37,34.584442,54.212437,30.208563,35.78796
38,46.64011,52.936714,44.141705,31.316748
39,63.428635,49.571453,59.85558,18.955723
40,79.352356,47.454136,74.66484,4.4195976
41,95.89261,44.075623,89.52486,-10.809492
42,106.758896,37.669243,101.25947,-25.340536
43,118.823875,32.194366,113.43534,-37.84953
44,134.15042,25.030523,129.202,-54.397022
