Layer,pruned_x,pruned_y,mean_x,mean_y
8,-43.314945,-20.565742,-43.234825,-20.642387
9,-43.268852,-20.427654,-43.302475,-20.689617
10,-43.43291,-20.638025,-43.44299,-20.859905
11,-43.47762,-20.777409,-43.53699,-21.044165
12,-43.49566,-20.865019,-43.52723,-21.089285
13,-43.48961,-20.971819,-43.56636,-21.20007
14,-43.75764,-21.531073,-43.83638,-21.68777
15,-43.80596,-21.703535,-43.88849,-21.8137
16,-43.80567,-21.876106,-44.024624,-22.124506
17,-43.833733,-22.107033,-44.204323,-22.464373
18,-43.519707,-21.981838,-44.07548,-22.62015
19,-43.60234,-22.499405,-43.967396,-22.771423
20,-42.723927,-21.508444,-43.420467,-22.133787
21,-41.546963,-20.061155,-42.201736,-20.82919
22,-39.959873,-18.361786,-40.62319,-19.339344
23,-38.659107,-16.338112,-39.33904,-17.676414
24,-36.836514,-14.084273,-37.507084,-15.725985
25,-33.726524,-10.530676,-34.8363,-13.345581
26,-32.448833,-10.191939,-33.261456,-12.29248
27,-30.713177,-7.5975866,-31.483255,-9.64566
28,-28.253832,-1.6304721,-28.933111,-3.3046277
29,-24.821348,6.822984,-25.512047,5.511431
30,-20.971012,17.169123,-21.5984,16.056782
31,-16.362988,28.671333,-17.401642,27.176596
32,-12.164959,37.896656,-13.45477,37.11106
33,-5.3079014,47.764645,-7.354926,47.28903
34,3.6276846,57.228367,0.5515629,56.1172
35,11.958305,57.07548,7.67432,56.231037
36,21.754475,59.659874,16.28165,57.71225
37,33.10805,62.041645,27.386814,60.94002
38,54.868446,61.16431,46.412956,59.700085
39,84.16125,54.80855,71.36738,50.768585
40,105.47382,36.37793,92.61448,33.494713
41,139.22697,12.317913,124.0156,9.764432
42,166.55072,-20.64513,155.38101,-20.635036
43,197.78502,-49.709854,181.89839,-43.966957
44,231.74083,-76.36126,205.65547,-61.57411
