Layer,pruned_x,pruned_y,mean_x,mean_y
8,32.65485,-21.395025,32.73943,-21.632658
9,32.72719,-21.549835,32.86349,-21.843084
10,32.991726,-22.074879,33.025894,-22.174412
11,33.742546,-23.692265,33.769173,-23.658495
12,34.081978,-24.38982,34.00924,-24.154951
13,34.557835,-25.196733,34.43234,-24.689188
14,35.124725,-25.828661,34.531746,-24.513477
15,35.62018,-26.606651,34.959007,-25.052734
16,36.178368,-27.54209,35.482197,-25.84992
17,36.43873,-27.927465,35.411865,-25.32634
18,36.978443,-28.669989,35.652847,-25.511494
19,37.054646,-28.420134,35.80979,-25.244137
20,37.19622,-28.166517,35.792725,-24.565435
21,36.895447,-27.170256,35.543095,-23.518192
22,35.856155,-24.635273,35.090786,-22.000225
23,34.81309,-22.177494,33.942013,-19.490255
24,34.055717,-19.90833,32.676243,-16.616442
25,33.3762,-18.217648,32.182125,-15.386487
26,32.204494,-15.144704,30.77474,-11.77324
27,30.389122,-9.44875,28.991955,-6.31536
28,28.937613,-2.5221853,27.29568,1.4136529
29,27.175657,6.660379,24.995737,12.145441
30,23.390903,18.915342,21.430883,23.955853
31,18.777794,29.944494,16.840874,34.98143
32,15.04006,37.766865,12.70327,43.273323
33,10.345958,40.64449,7.53638,47.963028
34,4.5221543,42.772594,2.0287461,49.590412
35,-0.06966881,41.130863,-3.5620022,50.595417
36,-5.47829,39.686275,-9.794986,51.240456
37,-17.215693,43.193123,-20.211002,54.58799
38,-37.491253,44.09086,-38.561195,54.519207
39,-60.407547,36.08836,-60.724022,46.482567
40,-85.17324,24.814802,-85.3195,34.094006
41,-108.72563,10.818789,-108.87807,15.721848
42,-131.87762,-12.241578,-132.94443,-7.9185066
43,-150.35039,-29.692636,-151.0786,-24.222677
44,-185.8128,-51.454395,-183.29106,-44.35235
