Layer,pruned_x,pruned_y,mean_x,mean_y
8,41.858208,-20.486662,41.45191,-20.115103
9,41.880116,-20.509161,41.42564,-20.092701
10,41.973923,-20.630083,41.637135,-20.298597
11,42.086376,-20.650305,41.628696,-20.289722
12,42.031864,-20.575764,41.660286,-20.307987
13,42.10283,-20.551397,41.69131,-20.295143
14,42.679325,-20.965567,41.995438,-20.474407
15,42.648323,-20.786215,42.209076,-20.511005
16,43.5287,-21.452736,42.811947,-20.882313
17,43.762947,-21.554081,42.86549,-20.802937
18,43.232742,-21.125975,42.517925,-20.414476
19,43.599197,-21.475004,42.77833,-20.613861
20,42.921284,-20.741152,42.444206,-20.141018
21,41.701984,-19.317095,41.42583,-18.880775
22,40.410522,-17.915596,39.934246,-17.195433
23,38.60394,-16.004639,38.28266,-15.242651
24,36.263237,-13.331352,35.18034,-11.8842945
25,33.984634,-10.464673,32.350883,-8.516254
26,32.175343,-8.031209,30.158417,-5.6659493
27,29.030575,-2.911947,26.90076,-0.55543196
28,25.407927,5.911408,22.648355,8.283457
29,20.107733,18.105566,18.03726,20.109676
30,13.813233,33.46291,11.993269,34.746407
31,4.778578,50.45188,4.91644,47.745583
32,-2.777272,59.752098,-0.53286725,53.739746
33,-11.875486,61.97349,-7.2958727,56.019066
34,-22.07959,66.318085,-13.15404,57.55877
35,-35.511208,71.11451,-18.45996,51.621143
36,-48.879936,73.19907,-26.557657,49.886513
37,-64.98565,75.34628,-34.660225,46.280304
38,-89.007126,67.87557,-46.44767,36.551476
39,-122.511856,45.55015,-63.85024,19.535183
40,-159.16031,17.251667,-81.20003,2.3154263
41,-201.55779,-19.730642,-102.02333,-14.335823
42,-230.56007,-45.706814,-113.4813,-30.244297
43,-257.9524,-67.772285,-128.83162,-43.73394
44,-277.07242,-85.941956,-147.11632,-59.666664
