Layer,pruned_x,pruned_y,mean_x,mean_y
8,52.19236,-19.23038,51.90365,-19.204554
9,52.199593,-19.309141,51.878033,-19.235853
10,52.322613,-19.492178,52.036644,-19.48359
11,52.533573,-19.854155,52.23905,-19.868639
12,52.724953,-20.240044,52.43926,-20.269835
13,52.804367,-20.494246,52.546814,-20.553528
14,53.14381,-21.153698,52.78966,-21.089844
15,53.359665,-21.568386,53.042076,-21.627321
16,53.536777,-21.887562,53.374004,-22.268316
17,53.769463,-22.396276,53.678844,-22.860796
18,53.771427,-22.526209,53.606,-22.84265
19,54.384308,-23.874725,53.82154,-23.504366
20,54.202976,-23.622084,53.74525,-23.576183
21,54.06178,-23.941872,53.5194,-23.755203
22,53.129528,-23.488777,52.800262,-23.39747
23,52.036293,-22.434557,51.787376,-22.140041
24,51.39478,-22.265938,51.151752,-21.727642
25,50.42611,-21.350016,49.52575,-19.702589
26,49.569496,-21.488394,48.436676,-18.787735
27,47.195244,-17.475811,46.324417,-14.975426
28,43.18084,-10.484069,43.061626,-8.99637
29,36.55003,1.1938292,37.510193,1.1352719
30,29.926437,13.497732,29.995132,13.828323
31,22.71284,26.320553,24.32426,25.070963
32,15.760893,38.987408,18.10014,36.2322
33,10.371476,46.679226,12.447391,43.96653
34,8.536953,48.546833,8.230109,48.75074
35,-3.7961407,59.621647,-1.4199371,57.778114
36,-18.872282,72.730934,-17.103708,70.75142
37,-38.125988,86.44781,-34.16733,81.43416
38,-65.294304,89.533516,-59.0102,84.3137
39,-102.763565,79.60438,-90.2864,72.70235
40,-143.75839,55.315735,-118.65642,46.705193
41,-203.83687,19.948517,-158.83026,14.199687
42,-268.42172,-25.544323,-198.0159,-20.500227
43,-308.44214,-66.51101,-235.16959,-55.873577
44,-353.97336,-109.525116,-272.50696,-90.45375
