Layer,pruned_x,pruned_y,mean_x,mean_y
8,-42.638973,-21.370504,-42.625317,-21.3075
9,-42.855026,-21.64673,-42.893272,-21.611166
10,-43.081844,-21.909615,-43.028145,-21.78285
11,-43.265965,-22.05224,-43.17821,-21.939236
12,-43.04815,-21.767439,-43.017662,-21.753973
13,-43.044216,-21.838966,-43.012444,-21.775547
14,-43.04814,-21.826563,-43.001106,-21.702887
15,-42.951263,-21.742943,-42.757454,-21.476826
16,-42.80926,-21.775846,-42.84365,-21.675755
17,-43.45959,-22.553854,-43.076763,-21.998018
18,-43.154613,-22.260988,-42.931927,-21.950571
19,-43.08206,-22.14497,-43.106438,-22.27184
20,-42.51664,-21.605888,-42.41009,-21.564503
21,-41.200535,-20.313522,-41.257908,-20.561302
22,-39.133778,-18.167618,-39.666992,-18.912422
23,-38.15452,-17.61242,-37.957882,-17.221922
24,-34.916054,-14.245905,-35.508003,-14.729779
25,-33.26537,-12.521965,-33.40959,-12.777358
26,-31.64802,-11.1333475,-32.176056,-11.825732
27,-30.433945,-8.778485,-30.8529,-9.288073
28,-28.443913,-3.499169,-28.936016,-4.0551143
29,-25.061663,5.4909444,-25.64862,4.956429
30,-20.40835,16.824972,-21.13761,15.800783
31,-15.453776,27.71211,-16.50836,26.447346
32,-11.419989,35.803314,-12.886142,34.587944
33,-6.087729,44.603878,-7.9152474,43.02816
34,-0.19238806,49.573406,-2.3210485,48.647938
35,8.364988,57.614037,4.6947646,54.215263
36,18.012562,64.513885,12.238991,58.57953
37,29.844648,69.79235,22.431087,63.167084
38,49.560604,68.98182,39.552723,63.44883
39,68.40528,59.662586,61.724396,57.235394
40,94.924614,42.287746,90.5269,42.394897
41,125.65298,20.331392,126.43376,15.30188
42,144.77998,-7.681512,161.3088,-22.280878
43,153.88487,-22.091787,187.84247,-47.015285
44,174.7931,-41.885567,221.96614,-76.40935
