Layer,pruned_x,pruned_y,mean_x,mean_y
8,47.08344,-21.357481,46.83715,-21.06954
9,47.409466,-21.861763,47.114365,-21.52599
10,47.514988,-21.96557,47.14005,-21.587105
11,47.817543,-22.493668,47.46081,-22.174374
12,47.92086,-22.668306,47.629993,-22.46899
13,47.943066,-22.741394,47.64251,-22.499146
14,47.914837,-22.633863,47.64292,-22.395836
15,48.230583,-22.999952,47.935143,-22.716105
16,48.566204,-23.44034,48.215565,-23.052074
17,48.570385,-23.272488,48.35459,-23.157959
18,48.617958,-23.398226,48.491905,-23.250774
19,48.795036,-23.663527,48.711227,-23.47521
20,48.653885,-23.464867,48.549614,-23.110369
21,48.391003,-23.084251,48.0814,-22.446712
22,47.522045,-21.751123,47.366444,-21.19769
23,46.18181,-19.489069,46.39663,-19.32489
24,44.71895,-17.246614,45.068222,-17.182673
25,43.76676,-15.593334,44.31495,-15.724307
26,43.174862,-14.019408,44.217323,-14.568222
27,42.473732,-11.923552,43.39499,-12.183205
28,39.508198,-4.6512837,40.663338,-5.328765
29,36.27323,4.0109606,37.083744,4.451734
30,31.323326,13.863833,31.976261,14.910731
31,26.162476,24.668383,27.01649,25.0088
32,20.687063,31.671104,20.016144,35.446796
33,14.505128,37.738724,13.369333,42.637592
34,3.4350479,49.11896,2.8568516,53.01996
35,-4.9638677,53.794373,-5.968318,57.747913
36,-15.239697,56.792156,-16.739553,62.2859
37,-32.518265,69.06892,-35.14407,76.14809
38,-58.31395,76.08634,-58.362366,82.09633
39,-83.562195,68.09196,-81.496735,76.03426
40,-116.405785,48.783337,-111.454124,59.57428
41,-153.49371,7.287247,-149.30118,24.879639
42,-189.75142,-42.923725,-186.73685,-20.134983
43,-214.91125,-80.83518,-210.36963,-54.640373
44,-264.21094,-137.3058,-255.9542,-104.64591
