Layer,pruned_x,pruned_y,mean_x,mean_y
8,43.844414,-16.903185,43.675148,-16.86
9,44.15143,-17.409204,44.031483,-17.41774
10,44.44681,-17.737242,44.275127,-17.692162
11,44.99804,-18.424252,44.767994,-18.338823
12,45.24738,-18.778477,45.15388,-18.850258
13,45.5122,-19.223988,45.430096,-19.324467
14,45.811195,-19.604698,45.722687,-19.683804
15,46.120872,-20.04087,46.114494,-20.211529
16,46.653496,-20.783098,46.692833,-21.027782
17,46.746174,-20.994678,46.63943,-20.966976
18,46.330193,-20.53168,46.406822,-20.79422
19,47.03479,-21.640207,46.941673,-21.851257
20,46.28015,-20.791327,46.61646,-21.426573
21,45.60708,-20.131502,46.20539,-21.367271
22,44.643955,-19.29948,45.591595,-20.968628
23,42.897114,-16.982363,43.92761,-18.78939
24,40.66818,-14.104311,41.516655,-15.735721
25,37.76154,-10.895077,38.85648,-12.793671
26,36.881832,-10.0137005,37.512127,-11.4430895
27,34.956375,-6.588505,35.26286,-8.371641
28,31.9365,-0.8375974,31.413746,-1.9027752
29,29.03375,5.371883,27.044193,5.801905
30,22.90406,16.478527,21.554804,15.526233
31,17.152363,27.778671,15.66093,26.609798
32,10.950823,37.65874,8.5993805,36.850132
33,4.489422,46.01509,2.4030228,43.708336
34,-0.80125546,52.86114,-3.2446506,48.20751
35,-11.065644,63.49277,-12.54516,53.534985
36,-17.112621,65.21942,-22.78009,56.067604
37,-35.129517,77.41015,-40.656513,64.66929
38,-54.703636,79.212166,-62.56245,63.32021
39,-73.03066,69.775185,-84.102036,48.21523
40,-91.93426,55.7666,-110.47416,28.160715
41,-110.7225,35.64011,-139.08817,-1.855962
42,-119.41197,20.513035,-162.00339,-29.814966
43,-123.327126,10.31878,-176.34729,-51.19538
44,-135.68263,-5.480267,-196.2269,-72.61951
