Layer,pruned_x,pruned_y,mean_x,mean_y
8,-30.872612,-19.231428,-30.75632,-19.039957
9,-30.923668,-19.393478,-30.630625,-18.948385
10,-31.26343,-19.781507,-30.7738,-19.115124
11,-31.452242,-19.98851,-31.004684,-19.364141
12,-31.18472,-19.649742,-31.200153,-19.53181
13,-31.380451,-19.951385,-31.362082,-19.740002
14,-31.504093,-20.03188,-31.799112,-20.16542
15,-31.590132,-20.077679,-32.127514,-20.486012
16,-32.31122,-20.85674,-32.560562,-20.921028
17,-32.585926,-21.136307,-33.006397,-21.289566
18,-32.995853,-21.722332,-32.93386,-21.149038
19,-33.35259,-22.019964,-33.37968,-21.639761
20,-32.77668,-21.473988,-32.67851,-20.664799
21,-32.15543,-20.886835,-32.1407,-19.991365
22,-31.618587,-20.171215,-31.040028,-18.572191
23,-29.693897,-17.620653,-29.132809,-15.877635
24,-28.38254,-15.595655,-27.316244,-13.291082
25,-26.35971,-12.164124,-25.34196,-10.331003
26,-25.892342,-10.771642,-24.035715,-7.8908753
27,-25.25609,-8.138174,-23.703356,-4.9648194
28,-24.843245,-4.063863,-22.47631,-0.13315651
29,-22.269487,6.0551906,-20.475239,8.073637
30,-18.121767,16.214415,-16.459057,17.684484
31,-14.871845,25.24477,-11.70225,26.297619
32,-9.691459,32.506184,-7.2712684,33.476585
33,-5.4862447,33.458374,-3.7534356,34.873455
34,-0.977518,35.27126,0.80809057,39.268097
35,5.4093823,36.40902,6.77902,44.60217
36,10.319672,33.093063,11.065069,44.013206
37,17.617495,32.896694,17.78397,48.05494
38,33.746517,33.342937,29.563854,47.74254
39,53.566185,28.077011,44.893227,42.486267
40,88.29274,12.642148,63.24939,34.34657
41,116.90303,-12.241003,81.21791,23.417646
42,172.5105,-70.378235,106.01613,1.4977235
43,219.81064,-114.00041,132.6151,-15.927335
44,289.34692,-158.36632,165.29898,-36.350254
