Layer,pruned_x,pruned_y,mean_x,mean_y
8,-38.15617,-19.25968,-37.97102,-19.01553
9,-38.641003,-19.661283,-38.316566,-19.319784
10,-38.760437,-19.75306,-38.422516,-19.404325
11,-39.087048,-19.96354,-38.650032,-19.584835
12,-38.886555,-19.826948,-38.63688,-19.58863
13,-39.07892,-19.979868,-38.690998,-19.633232
14,-39.314167,-20.080223,-38.981102,-19.796438
15,-39.45894,-20.186403,-39.116173,-19.843645
16,-39.391754,-20.184204,-39.35455,-19.9694
17,-40.131573,-20.754347,-40.02164,-20.460613
18,-38.98364,-19.693363,-39.73096,-20.135145
19,-39.049145,-19.704512,-40.112297,-20.30625
20,-38.393307,-18.976118,-39.71233,-19.719673
21,-37.172504,-17.907759,-39.002308,-19.025143
22,-35.763767,-16.620583,-37.63154,-17.67567
23,-34.01497,-14.423369,-35.991573,-15.665991
24,-32.7569,-13.110948,-34.358482,-13.843493
25,-31.787865,-12.220828,-33.61799,-12.797492
26,-31.232874,-10.910856,-33.822327,-12.256782
27,-31.74949,-9.363565,-33.842033,-10.157636
28,-30.60178,-3.9588387,-31.882227,-4.402373
29,-26.437105,7.711936,-29.277874,4.9577637
30,-21.017149,18.59412,-23.852163,15.575052
31,-16.150059,27.165081,-18.9942,24.314676
32,-9.754049,36.824974,-13.02627,33.65714
33,-3.9278786,44.285217,-7.061881,40.954277
34,1.2603832,46.42765,-0.8095623,46.158382
35,8.678186,53.189667,5.755784,49.070816
36,15.595132,55.24544,13.755669,52.861305
37,27.273333,60.342327,25.277836,58.92461
38,44.225407,61.117252,43.470203,62.71969
39,59.179764,52.025684,63.376026,57.166607
40,81.52875,37.52011,88.646255,43.182156
41,113.55537,15.8318205,114.40983,20.43504
42,154.8775,-30.054506,148.4197,-16.53896
43,169.9616,-55.349564,177.86903,-49.572716
44,190.79485,-88.70922,198.18399,-79.82654
