Layer,pruned_x,pruned_y,mean_x,mean_y
8,-47.66663,19.123867,-47.54943,19.110846
9,-47.844917,19.375187,-47.663692,19.254366
10,-47.99014,19.563257,-47.80651,19.462019
11,-48.082546,19.710865,-47.928932,19.672981
12,-48.011257,19.647606,-47.89822,19.672813
13,-48.036297,19.66961,-47.934776,19.786058
14,-48.10328,19.763304,-48.06617,19.991314
15,-48.119053,19.81218,-48.0282,20.038713
16,-48.285843,20.280804,-48.250427,20.555096
17,-48.46046,20.807634,-48.31891,20.805782
18,-48.569195,21.419353,-48.30305,21.179173
19,-48.936848,22.317558,-48.284264,21.596424
20,-48.217026,21.463251,-47.716732,20.98742
21,-47.15246,20.46197,-46.845943,20.33243
22,-46.108032,19.515638,-45.663437,19.32448
23,-43.959244,17.11258,-44.174496,18.005276
24,-42.031868,15.400733,-42.216515,16.068722
25,-40.505608,14.590056,-40.702477,15.214877
26,-39.108643,12.842367,-39.057808,13.27355
27,-37.25341,10.353462,-37.023136,10.438314
28,-34.070454,5.7329817,-33.299,4.652565
29,-28.553833,-1.4750577,-27.805841,-3.0311644
30,-21.198458,-13.224411,-21.568684,-13.48863
31,-13.49972,-25.660738,-16.96443,-23.680033
32,-7.637843,-37.133045,-12.988726,-32.525246
33,-1.8768831,-47.679966,-9.660952,-39.822975
34,3.0766206,-55.516174,-6.248699,-46.411125
35,12.602605,-65.06539,-1.5017484,-50.50056
36,28.247204,-76.54451,8.507098,-56.944263
37,43.171986,-85.369415,16.184818,-58.27253
38,63.674706,-85.1639,30.76241,-56.29494
39,104.707,-83.440735,57.6615,-53.105415
40,146.39928,-70.87894,85.02498,-43.219604
41,205.68533,-48.216297,124.51241,-21.684887
42,281.0786,-20.972626,167.853,7.204198
43,361.65305,31.594353,218.94571,46.443718
44,439.0943,74.17887,274.00815,89.0706
