Layer,pruned_x,pruned_y,mean_x,mean_y
8,31.531193,-17.096087,31.459621,-17.02597
9,31.57637,-17.148708,31.600845,-17.131893
10,31.974651,-17.421455,31.945852,-17.359856
11,33.10634,-18.202232,32.866096,-17.98782
12,33.441975,-18.376749,33.168438,-18.138872
13,33.827827,-18.543509,33.586132,-18.297657
14,34.01709,-18.377825,33.94806,-18.246395
15,34.475323,-18.619911,34.52076,-18.480268
16,35.66824,-19.198013,35.56253,-18.913336
17,36.525406,-19.430313,36.633675,-19.307833
18,38.67207,-20.432293,37.953754,-19.692493
19,40.189003,-21.071747,40.53416,-21.067936
20,41.434635,-21.188072,40.793446,-20.469006
21,41.155445,-20.159643,40.503582,-19.194355
22,39.703453,-17.923763,39.524456,-17.28941
23,36.830105,-14.412411,37.36921,-14.105024
24,33.178947,-10.263881,34.677452,-10.573377
25,31.349163,-7.106402,34.855038,-8.974024
26,29.440407,-4.194033,33.032997,-5.9161367
27,25.970621,1.9787757,30.017416,-0.3820161
28,23.839003,8.74609,26.288141,8.108679
29,21.285244,19.484749,22.73642,19.760792
30,14.558804,31.834463,15.243983,32.986572
31,6.0456758,41.130028,6.7823105,42.61802
32,-1.8234701,47.031437,-1.5015656,48.53211
33,-10.375048,51.301662,-10.142069,51.21773
34,-16.754045,50.8464,-17.377642,52.226654
35,-21.972471,44.994038,-23.695406,46.674355
36,-28.468029,42.719727,-31.897314,47.58253
37,-40.44089,45.25937,-45.033176,48.031578
38,-54.73751,39.00193,-58.43673,40.44038
39,-67.65495,24.36421,-72.565926,27.431522
40,-76.37437,11.5023155,-78.826996,11.090596
41,-87.053085,-2.9274845,-90.02042,-8.491694
42,-93.55285,-17.63585,-101.41389,-30.681437
43,-99.58845,-29.81855,-111.84209,-48.09165
44,-111.929695,-45.955883,-137.75836,-75.35213
