Layer,pruned_x,pruned_y,mean_x,mean_y
8,32.62303,-18.389685,32.36921,-18.192478
9,32.806984,-18.565142,32.510803,-18.328373
10,33.223373,-18.907799,32.815624,-18.576042
11,34.0403,-19.59647,33.6457,-19.279722
12,34.345436,-19.834478,33.908108,-19.447327
13,34.81194,-20.160631,34.303158,-19.645126
14,35.03717,-20.083666,34.62741,-19.626318
15,35.4348,-20.33049,35.15803,-19.910364
16,36.361923,-20.760452,36.082325,-20.433502
17,36.77264,-20.805605,37.05552,-20.946566
18,38.00355,-21.349949,38.238907,-21.482922
19,40.09096,-22.565395,40.50643,-23.060331
20,41.268536,-22.662933,40.68136,-22.470892
21,41.123924,-21.87558,40.375927,-21.267689
22,39.968178,-19.836693,39.44428,-19.403795
23,37.141796,-16.181091,37.3619,-16.172527
24,33.583305,-11.912812,34.86792,-12.66395
25,32.302685,-9.242647,34.802876,-11.26436
26,30.356857,-6.080114,32.96509,-8.322592
27,27.704954,-0.71354777,30.159063,-2.9406328
28,24.976492,7.749209,26.857367,5.2012224
29,22.55536,18.32477,23.981848,16.198254
30,16.28008,30.937702,17.43022,29.365383
31,9.571872,40.577766,9.940042,39.734535
32,2.4353466,47.673866,2.6762373,46.516426
33,-5.403122,51.205322,-5.4382615,50.782997
34,-11.905834,53.760918,-12.41805,52.717365
35,-16.937902,49.142963,-19.04061,49.02193
36,-24.960598,52.12117,-26.969196,51.049744
37,-37.35859,52.986423,-39.71279,53.319885
38,-55.45809,45.22526,-53.835705,47.003273
39,-81.79491,31.75064,-69.18077,34.741596
40,-109.03643,11.111715,-78.004166,19.160513
41,-140.46298,-23.423298,-91.7418,-0.18499121
42,-165.52179,-57.121998,-105.14866,-21.88288
43,-184.09796,-83.12526,-117.039024,-39.08599
44,-243.58574,-133.54385,-144.86607,-64.773575
