Layer,pruned_x,pruned_y,mean_x,mean_y
8,-35.241962,-18.263752,-35.094673,-18.1018
9,-35.822075,-19.058645,-35.646526,-18.834974
10,-36.24169,-19.56328,-35.98594,-19.213383
11,-36.684242,-20.169079,-36.520615,-19.885817
12,-36.69278,-20.224472,-36.67988,-20.11016
13,-36.601345,-20.272476,-36.678925,-20.256174
14,-36.954067,-20.65348,-36.988827,-20.569735
15,-37.06631,-20.892042,-37.193367,-20.902626
16,-37.678577,-21.627577,-37.732468,-21.52346
17,-37.76726,-21.905485,-37.742073,-21.680485
18,-37.18562,-21.445457,-37.39876,-21.48853
19,-37.568764,-22.225655,-38.0021,-22.528902
20,-36.942852,-21.182243,-37.239452,-21.53868
21,-35.84239,-20.234642,-36.15531,-20.56357
22,-34.117344,-18.658018,-34.44815,-19.255384
23,-31.639385,-16.081953,-32.14948,-16.79746
24,-29.638342,-14.669375,-29.088766,-14.027489
25,-26.605856,-12.081728,-26.836788,-11.563861
26,-25.201744,-12.176699,-25.665924,-11.49767
27,-22.522884,-9.143246,-22.880642,-7.636074
28,-19.660563,-4.737297,-19.17492,-0.50474066
29,-15.298451,3.3036778,-15.372233,8.099239
30,-11.280957,10.617873,-11.437559,16.909367
31,-5.500522,21.789516,-7.546273,27.813452
32,-1.5442424,30.024841,-3.2612472,38.43002
33,3.1971447,35.46971,0.072453335,44.35689
34,9.648134,39.161076,4.8586936,50.57856
35,15.797173,39.112877,9.869503,50.215466
36,20.013142,35.212307,14.925603,50.255272
37,29.435608,37.04691,23.322744,52.161736
38,41.13824,31.941734,33.528694,48.994907
39,62.518387,24.969646,51.245228,42.417595
40,86.846016,8.0061655,67.92277,32.28208
41,128.58704,-23.065834,93.277916,16.905119
42,165.13095,-69.63503,118.678795,-8.283671
43,192.89108,-99.93236,142.22171,-25.457943
44,214.03366,-119.346886,159.80318,-40.138092
