Layer,pruned_x,pruned_y,mean_x,mean_y
8,-33.465996,-16.385557,-33.798626,-16.915503
9,-33.863728,-16.85937,-34.298416,-17.518919
10,-33.90729,-16.877213,-34.400932,-17.597754
11,-34.126415,-17.163809,-34.439384,-17.719875
12,-33.89828,-16.876026,-34.210472,-17.452906
13,-33.813717,-16.93189,-34.15086,-17.480083
14,-34.183937,-17.140173,-34.244972,-17.363934
15,-34.086975,-16.86801,-33.98956,-16.84383
16,-34.305195,-16.86307,-34.15081,-16.775442
17,-34.722595,-17.202484,-34.636616,-17.161976
18,-35.289272,-17.618912,-34.91027,-17.324974
19,-36.0837,-18.246792,-35.690563,-17.963602
20,-35.13674,-16.911087,-35.289295,-17.1273
21,-34.84719,-15.882327,-35.1566,-16.41998
22,-34.419384,-14.908765,-34.027767,-14.658163
23,-33.36521,-12.98147,-33.093525,-12.681429
24,-31.605177,-9.851467,-31.775263,-10.103318
25,-30.064417,-7.061549,-31.1314,-8.332543
26,-29.318106,-4.6583776,-30.043573,-5.558339
27,-26.620026,0.50564533,-27.615992,-0.7333194
28,-23.551392,6.520362,-24.40073,5.6371975
29,-18.812342,15.727126,-19.80032,14.502727
30,-12.39298,26.350605,-13.403564,25.116804
31,-4.9956255,36.86531,-6.200053,35.59989
32,1.3300629,41.427227,0.041928817,41.04087
33,7.843916,46.165855,6.393132,45.477715
34,11.61167,48.310303,11.140976,48.07781
35,19.164503,52.516663,15.588743,47.33782
36,26.519045,53.892292,20.567835,45.600174
37,29.864727,47.656807,27.988064,41.98102
38,41.75051,39.86905,42.184074,35.308624
39,56.559734,27.769602,59.088326,22.34335
40,72.255295,10.194105,78.701256,7.5104647
41,83.687675,-10.568858,94.72002,-10.547548
42,99.6287,-27.765848,110.59645,-24.914072
43,116.916115,-43.40015,126.53982,-38.089855
44,138.92982,-56.18774,143.39034,-51.105812
