Layer,pruned_x,pruned_y,mean_x,mean_y
8,-35.856327,-15.488016,-35.82977,-15.588873
9,-36.11067,-15.750542,-36.17199,-15.932925
10,-36.051006,-15.659754,-36.21947,-15.98351
11,-36.223045,-15.857078,-36.39512,-16.17332
12,-36.18152,-15.723168,-36.266945,-15.988666
13,-36.430763,-15.922095,-36.330307,-16.11526
14,-36.496544,-15.808395,-36.242805,-15.919171
15,-36.267937,-15.31337,-35.895603,-15.439993
16,-36.508186,-15.367817,-36.175484,-15.584015
17,-36.752224,-15.403458,-36.67495,-15.970472
18,-36.77834,-15.37794,-36.713745,-15.98694
19,-37.50192,-15.882967,-37.349976,-16.529686
20,-37.304646,-15.370171,-36.964733,-15.831759
21,-36.69981,-14.561661,-36.499577,-15.104007
22,-35.213524,-12.431911,-35.091908,-13.26623
23,-33.82101,-10.163049,-33.776497,-11.1115055
24,-32.009342,-7.258757,-32.462887,-8.780359
25,-31.148037,-5.7062316,-31.153357,-6.6229544
26,-31.74713,-4.879148,-30.88946,-4.7420783
27,-29.531298,-0.11843942,-30.131115,-1.4551215
28,-27.581923,5.56277,-27.877045,4.798288
29,-23.685762,15.258895,-24.060444,14.595171
30,-18.687624,24.914948,-18.605164,25.132854
31,-10.59922,35.629177,-10.541513,35.301823
32,-4.3951125,39.660603,-3.5352645,39.55042
33,1.0269772,39.327305,3.4976578,42.205513
34,9.632875,42.653725,11.753724,43.663086
35,17.75704,41.893818,21.337435,44.413124
36,22.9855,37.258984,28.828466,39.173817
37,32.20093,36.61448,41.882954,40.005676
38,41.567345,30.019203,58.232887,35.494083
39,47.002567,18.737505,73.188156,23.099152
40,54.29794,10.701071,90.25582,10.014978
41,60.83328,3.8990111,104.968704,-9.383781
42,66.5109,-4.767725,115.79136,-27.437084
43,76.1493,-14.933599,127.62699,-42.200897
44,79.79563,-25.089115,138.47325,-58.229046
