Layer,pruned_x,pruned_y,mean_x,mean_y
8,48.032043,-15.978777,48.145664,-16.396317
9,48.187263,-16.228512,48.391716,-16.670656
10,48.511616,-16.72086,48.58551,-16.9191
11,49.16055,-17.664267,49.123985,-17.58826
12,49.478283,-18.151266,49.288193,-17.846142
13,49.7324,-18.469555,49.622643,-18.231176
14,49.725872,-18.479988,49.619057,-18.254765
15,50.158813,-19.208591,49.969555,-18.750443
16,50.82586,-20.11604,50.57675,-19.668951
17,51.48429,-21.044992,51.01749,-20.244232
18,51.420723,-21.208384,51.694286,-21.33342
19,51.57504,-21.63592,51.99627,-21.859354
20,51.766464,-21.942411,51.95415,-22.008396
21,51.1904,-22.080805,51.732838,-22.192993
22,50.37932,-22.234896,50.198753,-20.9942
23,47.848087,-20.339285,47.708076,-19.459606
24,46.471138,-19.640114,45.61767,-18.1487
25,44.3137,-18.419975,43.06927,-16.641819
26,42.88263,-17.661669,40.33607,-14.193056
27,40.310856,-13.632607,38.277855,-10.61499
28,36.790653,-6.3533406,34.918728,-2.9883106
29,32.96593,3.9805832,31.005009,8.115007
30,28.556402,13.797669,26.697607,18.88467
31,23.332766,24.047438,21.337679,30.12709
32,17.051247,33.334137,14.949255,39.80587
33,7.437332,43.225994,5.5794644,49.94172
34,-2.651809,48.61487,-4.436826,56.313396
35,-16.908552,57.207443,-16.204836,62.88749
36,-32.19092,63.863094,-28.549585,66.89845
37,-52.866997,71.05227,-46.642555,75.13326
38,-78.65931,70.585396,-67.59632,70.475945
39,-110.90058,46.176388,-95.23759,50.602898
40,-145.21883,18.774387,-121.894554,26.644781
41,-180.35399,-19.72686,-143.5585,-2.6896849
42,-209.15051,-51.44938,-165.22665,-31.244207
43,-230.36299,-78.5689,-183.80833,-55.07832
44,-252.76608,-103.30704,-209.01367,-81.25304
