Layer,pruned_x,pruned_y,mean_x,mean_y
8,-40.754303,-17.199831,-40.629845,-16.998917
9,-40.853256,-17.287067,-41.11139,-17.416183
10,-40.936092,-17.347345,-41.186764,-17.485132
11,-41.23525,-17.562485,-41.446354,-17.758198
12,-41.22516,-17.581337,-41.40146,-17.718328
13,-41.18082,-17.635405,-41.528717,-17.91515
14,-41.22454,-17.708017,-41.320255,-17.766396
15,-41.154175,-17.455908,-41.278755,-17.623913
16,-42.27128,-18.474913,-42.182564,-18.438046
17,-42.647892,-18.742075,-42.862343,-18.994625
18,-42.94133,-19.065567,-42.910885,-19.046877
19,-43.536247,-19.653587,-43.267773,-19.371054
20,-43.421524,-19.338455,-42.8162,-18.791035
21,-43.379986,-19.140516,-42.307823,-18.275616
22,-41.983715,-17.57375,-40.758858,-16.628122
23,-40.434757,-15.855869,-39.2846,-14.856424
24,-38.5428,-13.421357,-37.31562,-12.267847
25,-36.65276,-11.109343,-36.17977,-10.488988
26,-35.41772,-8.54254,-35.146217,-8.016367
27,-34.04628,-4.85807,-32.30311,-3.130509
28,-30.534424,2.917524,-28.286947,4.8598123
29,-24.100208,16.959036,-22.56368,16.409714
30,-17.600317,29.964949,-16.71207,27.497839
31,-9.786368,43.81893,-10.066232,37.80477
32,-1.6491997,54.323593,-2.9876842,44.994396
33,10.580081,64.34255,6.505708,51.712902
34,17.260836,65.25268,15.302485,55.026356
35,26.442173,66.62066,23.815952,53.96753
36,35.66235,64.291756,31.846558,48.502556
37,42.937542,55.873337,45.976498,49.42521
38,52.26659,46.521282,60.57187,42.85821
39,61.56703,30.89433,79.644714,27.321583
40,69.099785,16.851107,99.53523,8.386046
41,79.198235,0.69224,116.89083,-13.60526
42,86.35606,-16.74902,130.6549,-34.99082
43,92.00217,-25.070175,142.92758,-48.94001
44,99.391975,-38.50274,156.65817,-67.587975
