Layer,pruned_x,pruned_y,mean_x,mean_y
8,-34.309437,-17.788897,-34.29043,-17.589693
9,-34.48122,-17.877964,-34.357716,-17.568733
10,-34.46516,-17.854614,-34.407566,-17.601755
11,-34.819435,-18.234552,-34.737427,-17.959507
12,-34.544395,-17.992052,-34.70361,-17.925446
13,-34.61,-18.0547,-34.748207,-17.976612
14,-34.512722,-17.85245,-34.723763,-17.813572
15,-34.60107,-17.850353,-34.84535,-17.851498
16,-35.003536,-18.042772,-35.513767,-18.321636
17,-35.414135,-18.044415,-35.94831,-18.36288
18,-35.602512,-17.878546,-35.947613,-18.113428
19,-36.201466,-18.093931,-36.314552,-18.085135
20,-36.126408,-17.448654,-36.29423,-17.535685
21,-36.264595,-16.823936,-36.102943,-16.64935
22,-35.37858,-15.171856,-35.50283,-15.353473
23,-35.744473,-14.289936,-35.512512,-14.14621
24,-34.897934,-12.3200865,-34.250187,-11.807531
25,-33.072205,-9.349127,-32.961613,-9.339514
26,-31.826496,-6.094922,-32.568,-7.17253
27,-29.51121,-1.1351961,-30.535543,-2.5127027
28,-27.891434,5.9597898,-28.131214,5.034871
29,-23.785448,17.292974,-24.077385,16.267857
30,-18.549974,27.561813,-19.476736,26.948175
31,-9.810403,38.727043,-10.452992,39.82154
32,-2.5828462,44.791477,-1.8883797,49.118675
33,2.8189416,44.523823,4.8035364,49.870365
34,11.499556,52.239098,13.0466585,54.29897
35,19.871927,51.88291,20.059908,50.43563
36,29.485865,52.50993,25.95958,45.70974
37,40.28736,52.37744,32.70555,42.61254
38,51.97127,46.13952,44.70211,33.325493
39,74.486404,36.902157,66.3629,22.73132
40,95.5552,28.093971,82.17326,6.500745
41,108.751396,16.738623,96.22862,-13.596077
42,119.89344,5.0953093,114.56581,-31.915943
43,126.88742,3.1892817,129.50693,-48.827297
44,141.26878,-2.7068324,143.30098,-59.961628
