Layer,pruned_x,pruned_y,mean_x,mean_y
8,-63.67395,-21.786194,-63.532562,-21.679052
9,-63.953312,-22.41806,-63.791485,-22.298916
10,-64.22255,-22.856762,-63.96765,-22.62684
11,-64.61075,-23.544294,-64.29494,-23.266953
12,-64.75782,-23.842035,-64.49282,-23.663115
13,-64.835434,-24.24238,-64.52562,-24.042957
14,-64.94873,-24.51241,-64.67575,-24.409315
15,-65.14353,-24.970716,-64.95827,-25.049305
16,-65.37919,-25.645838,-65.27118,-25.887762
17,-65.51917,-26.085653,-65.20471,-25.931332
18,-65.36263,-26.13309,-64.82472,-25.766636
19,-65.837746,-27.400764,-64.75486,-26.565008
20,-65.27022,-26.655117,-64.25408,-26.22234
21,-64.62521,-25.665514,-63.291267,-25.883402
22,-63.926678,-25.675606,-62.100544,-25.506998
23,-62.120876,-23.969957,-60.491554,-23.713041
24,-59.706886,-21.752298,-58.56733,-21.514011
25,-56.52644,-18.525587,-56.11667,-19.616165
26,-55.601547,-18.03147,-54.187782,-18.094715
27,-53.477463,-15.122872,-51.232384,-15.0304
28,-48.87197,-8.922283,-45.997974,-7.805335
29,-43.345707,-1.6204325,-38.878708,1.0212563
30,-37.37092,9.166534,-31.45398,12.233583
31,-33.695923,20.238626,-25.45425,24.819818
32,-28.95336,28.92705,-17.976328,36.58515
33,-25.042658,36.600834,-11.276929,47.481346
34,-23.92789,40.411972,-2.9940858,58.49333
35,-16.376127,48.52987,7.3238525,68.79626
36,-11.238619,50.226326,19.656761,76.29138
37,3.73256,61.95714,41.610115,89.14635
38,27.11271,68.25267,75.27922,93.57005
39,44.810757,52.503162,112.43739,81.04194
40,56.025703,31.35164,152.02048,57.757088
41,73.20707,6.223273,205.08882,22.845581
42,80.39452,-11.568062,261.6033,-19.947788
43,87.09548,-25.620895,303.86798,-62.76291
44,95.17996,-37.994884,345.75696,-102.78141
