Layer,pruned_x,pruned_y,mean_x,mean_y
8,-41.50513,-16.503397,-41.556816,-17.00417
9,-42.028324,-17.06531,-42.0965,-17.54339
10,-42.061764,-17.093443,-42.023277,-17.461926
11,-42.568256,-17.693602,-42.367386,-17.887333
12,-42.60891,-17.800852,-42.237293,-17.744678
13,-42.61645,-17.962626,-42.111866,-17.672922
14,-42.58007,-18.023306,-41.63092,-17.218029
15,-42.650642,-18.086983,-41.480278,-17.043905
16,-43.25473,-18.771194,-41.989723,-17.678753
17,-43.47221,-18.997114,-42.18696,-17.940485
18,-43.117203,-18.878834,-41.996365,-18.079403
19,-43.415466,-19.22384,-42.31135,-18.617554
20,-43.62051,-19.348354,-41.90515,-18.378656
21,-43.7678,-19.678467,-41.68714,-18.55096
22,-43.059204,-19.168129,-40.500725,-17.594194
23,-41.350163,-17.686485,-39.323334,-16.38219
24,-40.716255,-17.199532,-38.030495,-15.204855
25,-40.029648,-16.40953,-36.625607,-13.940358
26,-38.873543,-14.64593,-36.042522,-12.765572
27,-37.46375,-11.087868,-35.191917,-10.151656
28,-37.007835,-7.1164103,-32.90959,-4.5592766
29,-32.25202,2.4285522,-28.131405,5.016764
30,-26.022873,12.913876,-22.814371,14.031439
31,-18.424883,23.881657,-16.712284,23.338856
32,-11.245998,33.703903,-11.339403,31.303802
33,-3.6839986,41.21697,-4.655717,38.768093
34,4.2416496,46.491394,2.4452744,45.110027
35,13.224989,53.61424,8.581654,48.569794
36,21.335627,53.46062,17.601757,51.7847
37,37.497974,60.210983,29.830582,55.696877
38,63.49686,65.39558,48.5704,57.278797
39,88.64266,57.858658,72.011566,52.73824
40,124.18636,40.904816,94.40451,37.581882
41,169.59515,13.845149,117.1641,15.153582
42,224.95781,-30.153463,143.24808,-16.078518
43,267.88885,-69.1125,168.21414,-44.04443
44,305.15857,-106.20175,192.70341,-71.031364
