Layer,pruned_x,pruned_y,mean_x,mean_y
8,-48.74356,-25.253756,-48.72085,-25.344193
9,-48.903297,-25.603758,-48.909187,-25.756283
10,-48.992104,-25.823238,-49.02067,-26.010746
11,-49.27361,-26.268202,-49.286415,-26.465
12,-49.222576,-26.201923,-49.224632,-26.362692
13,-49.349457,-26.430471,-49.329613,-26.548626
14,-49.4826,-26.505522,-49.41394,-26.611614
15,-49.71973,-26.832928,-49.57551,-26.758057
16,-49.73047,-27.160042,-49.65197,-27.202265
17,-49.85338,-27.505999,-49.65914,-27.410416
18,-49.88907,-27.849665,-49.68882,-27.714731
19,-49.9442,-28.471272,-49.75192,-28.284317
20,-49.658085,-28.381165,-49.41402,-28.056921
21,-48.92083,-27.995367,-48.820473,-27.742365
22,-47.7804,-26.441921,-47.810627,-26.771463
23,-46.22712,-25.67672,-46.202747,-25.856089
24,-44.59805,-23.675344,-44.55387,-24.102564
25,-42.208138,-20.979092,-42.593803,-22.312363
26,-41.437584,-19.857601,-41.75387,-21.407543
27,-40.520916,-18.41448,-40.633736,-19.816479
28,-39.365036,-13.743846,-39.354584,-14.637212
29,-37.880287,-7.4521856,-37.93161,-8.766977
30,-35.949776,-0.07082611,-36.283615,-1.4659078
31,-33.426743,11.0939865,-33.722145,9.450877
32,-30.954964,20.15328,-30.96635,19.037052
33,-26.234617,32.98173,-26.491537,32.548347
34,-20.78526,45.23794,-20.602188,45.19257
35,-12.17914,54.558743,-12.371129,54.44996
36,-4.836775,63.893806,-5.5799813,62.474556
37,5.3201,74.83792,3.7514348,72.82976
38,23.549788,91.30535,18.47739,82.88509
39,50.847355,103.17414,39.696068,86.67973
40,116.69554,103.655304,80.72665,84.37363
41,231.17487,56.72206,151.66905,55.819237
42,346.18005,-5.1304045,225.2531,15.110667
43,438.1481,-61.83261,284.53653,-22.417898
44,528.8997,-109.9871,338.73395,-51.83562
