bin_left,bin_right,density
904.44873046875,2229.7948974609376,6.144481011264468e-06
2229.7948974609376,3555.141064453125,6.68048892926839e-05
3555.141064453125,4880.487231445313,6.92327997226668e-05
4880.487231445313,6205.8333984375,4.1125067437095333e-05
6205.8333984375,7531.1795654296875,3.3934717317530526e-05
7531.1795654296875,8856.525732421876,2.739803539065339e-05
8856.525732421876,10181.871899414064,2.6744367197965715e-05
10181.871899414064,11507.21806640625,2.336396883006642e-05
11507.21806640625,12832.564233398438,2.102943957046746e-05
12832.564233398438,14157.910400390625,2.0095627866627874e-05
14157.910400390625,15483.256567382814,1.7518307564030594e-05
15483.256567382814,16808.602734375003,1.7070077946187595e-05
16808.602734375003,18133.94890136719,1.6976696775803682e-05
18133.94890136719,19459.295068359377,1.4978339729586925e-05
19459.295068359377,20784.641235351562,1.479157738881905e-05
20784.641235351562,22109.98740234375,1.382041321682584e-05
22109.98740234375,23435.33356933594,1.2662486704064758e-05
23435.33356933594,24760.679736328126,1.230763825660575e-05
24760.679736328126,26086.025903320315,1.2849249044832674e-05
26086.025903320315,27411.3720703125,1.199014227730029e-05
27411.3720703125,28736.71823730469,1.1168387977921422e-05
28736.71823730469,30062.064404296878,1.0309281210389006e-05
30062.064404296878,31387.410571289063,1.0271928742235452e-05
31387.410571289063,32712.756738281252,8.777830016092089e-06
32712.756738281252,34038.10290527344,9.9357565288532e-06
34038.10290527344,35363.44907226563,9.954432762929965e-06
35363.44907226563,36688.795239257815,8.497686504940213e-06
36688.795239257815,38014.141406250004,8.90856365462963e-06
38014.141406250004,39339.48757324219,9.076649761320754e-06
39339.48757324219,40664.833740234375,8.740477547938554e-06
40664.833740234375,41990.179907226564,7.956075716713254e-06
41990.179907226564,43315.52607421875,8.180190525634755e-06
43315.52607421875,44640.87224121094,7.619903503331005e-06
44640.87224121094,45966.21840820313,7.470493630716671e-06
45966.21840820313,47291.56457519531,6.798149203952208e-06
47291.56457519531,48616.9107421875,7.4891698647934625e-06
48616.9107421875,49942.25690917969,6.891530374336128e-06
49942.25690917969,51267.60307617188,7.1903501195647954e-06
51267.60307617188,52592.94924316407,6.368595820185962e-06
52592.94924316407,53918.29541015625,6.536681926877123e-06
53918.29541015625,55243.64157714844,8.030780653020421e-06
55243.64157714844,56568.98774414063,6.91020660841292e-06
56568.98774414063,57894.33391113282,6.984911544720087e-06
57894.33391113282,59219.680078125006,7.302407524025546e-06
59219.680078125006,60545.026245117195,7.582551035177422e-06
60545.026245117195,61870.37241210938,6.984911544720126e-06
61870.37241210938,63195.718579101565,7.1903501195647954e-06
63195.718579101565,64521.064746093754,7.4518173966398796e-06
64521.064746093754,65846.41091308594,6.91020660841292e-06
65846.41091308594,67171.75708007812,6.125804777187704e-06
67171.75708007812,68497.10324707032,6.723444267644967e-06
68497.10324707032,69822.4494140625,6.6300630972610815e-06
69822.4494140625,71147.7955810547,5.528165286730306e-06
71147.7955810547,72473.14174804688,4.7064109873515285e-06
72473.14174804688,73798.48791503906,4.127447730970983e-06
73798.48791503906,75123.83408203126,2.9321687500562773e-06
75123.83408203126,76449.18024902344,1.7182135350648438e-06
76449.18024902344,77774.52641601564,1.2139552149914524e-06
77774.52641601564,79099.87258300782,3.735246815358356e-07
79099.87258300782,80425.21875,1.1205740446075068e-07
