bin_left,bin_right,density
791.8335571289062,2119.0566436767576,4.43207551224614e-06
2119.0566436767576,3446.2797302246095,6.0719434517772084e-05
3446.2797302246095,4773.502816772461,7.24275006626223e-05
4773.502816772461,6100.725903320313,4.2861863599680376e-05
6100.725903320313,7427.948989868164,3.373917483697374e-05
7427.948989868164,8755.172076416016,2.821754742796707e-05
8755.172076416016,10082.395162963867,2.6758655905186084e-05
10082.395162963867,11409.61824951172,2.365620304661375e-05
11409.61824951172,12736.841336059571,2.1070825664470174e-05
12736.841336059571,14064.064422607422,2.033214641242918e-05
14064.064422607422,15391.287509155274,1.774676903028557e-05
15391.287509155274,16718.510595703126,1.6897287890438394e-05
16718.510595703126,18045.73368225098,1.6934221853040446e-05
18045.73368225098,19372.956768798827,1.5013655797733827e-05
19372.956768798827,20700.17985534668,1.4644316171713277e-05
20700.17985534668,22027.402941894532,1.3979504844876354e-05
22027.402941894532,23354.626028442384,1.270528313510559e-05
23354.626028442384,24681.849114990237,1.200353784566662e-05
24681.849114990237,26009.072201538085,1.3074622761126138e-05
26009.072201538085,27336.295288085938,1.1818868032656363e-05
27336.295288085938,28663.51837463379,1.1301792556227647e-05
28663.51837463379,29990.741461181642,1.0433844435079446e-05
29990.741461181642,31317.964547729494,1.0156839715564061e-05
31317.964547729494,32645.187634277347,8.845684043191247e-06
32645.187634277347,33972.410720825195,9.82443405214563e-06
33972.410720825195,35299.63380737305,1.000910386515583e-05
35299.63380737305,36626.8568939209,8.439410454568706e-06
36626.8568939209,37954.07998046875,8.956485930997425e-06
37954.07998046875,39281.303067016604,9.178089706609682e-06
39281.303067016604,40608.52615356445,8.531745361073835e-06
40608.52615356445,41935.74924011231,8.0331368659461e-06
41935.74924011231,43262.97232666016,8.125471772451272e-06
43262.97232666016,44590.195413208006,7.497594408216401e-06
44590.195413208006,45917.41849975586,7.737665165129691e-06
45917.41849975586,47244.64158630371,6.666580249670249e-06
47244.64158630371,48571.86467285157,7.571462333420462e-06
48571.86467285157,49899.087759399416,6.906651006583582e-06
49899.087759399416,51226.310845947264,7.275990632604094e-06
51226.310845947264,52553.53393249512,6.315707604950727e-06
52553.53393249512,53880.75701904297,6.611179305767171e-06
53880.75701904297,55207.980105590825,8.0331368659461e-06
55207.980105590825,56535.20319213867,6.851250062680504e-06
56535.20319213867,57862.42627868652,7.0359198756907605e-06
57862.42627868652,59189.64936523438,7.2575236513030285e-06
59189.64936523438,60516.87245178223,7.682264221226658e-06
60516.87245178223,61844.09553833008,7.054386856991748e-06
61844.09553833008,63171.31862487793,7.220589688701018e-06
63171.31862487793,64498.54171142579,7.608396296022512e-06
64498.54171142579,65825.76479797364,6.962051950486658e-06
65825.76479797364,67152.98788452148,6.11257081063948e-06
67152.98788452148,68480.21097106933,6.7035142122723e-06
68480.21097106933,69807.4340576172,6.740448174874277e-06
69807.4340576172,71134.65714416504,5.558561371608711e-06
71134.65714416504,72461.8802307129,4.672146269159482e-06
72461.8802307129,73789.10331726074,4.136603811429739e-06
73789.10331726074,75116.32640380859,2.9731839894651244e-06
75116.32640380859,76443.54949035645,1.7174292609953638e-06
76443.54949035645,77770.7725769043,1.2003537845666653e-06
77770.7725769043,79097.99566345215,3.693396260205124e-07
79097.99566345215,80425.21875,1.1080188780615371e-07
