bin_left,bin_right,density
904.44873046875,2229.7948974609376,6.175050568534441e-06
2229.7948974609376,3555.141064453125,6.68744838166815e-05
3555.141064453125,4880.487231445313,6.922062764971128e-05
4880.487231445313,6205.8333984375,4.114197825601064e-05
6205.8333984375,7531.1795654296875,3.393462440094308e-05
7531.1795654296875,8856.525732421876,2.7440498271116548e-05
8856.525732421876,10181.871899414064,2.6708501395211285e-05
10181.871899414064,11507.21806640625,2.3386361727641082e-05
11507.21806640625,12832.564233398438,2.102144874394704e-05
12832.564233398438,14157.910400390625,2.008299121073512e-05
14157.910400390625,15483.256567382814,1.7492848419070192e-05
15483.256567382814,16808.602734375003,1.7117465405785422e-05
16808.602734375003,18133.94890136719,1.6948543049807323e-05
18133.94890136719,19459.295068359377,1.4996551380726484e-05
19459.295068359377,20784.641235351562,1.4846398175412617e-05
20784.641235351562,22109.98740234375,1.385163319020794e-05
22109.98740234375,23435.33356933594,1.255656179437549e-05
23435.33356933594,24760.679736328126,1.2293793685076187e-05
24760.679736328126,26086.025903320315,1.2875637355667544e-05
26086.025903320315,27411.3720703125,1.1974718123784134e-05
27411.3720703125,28736.71823730469,1.1148875494557612e-05
28736.71823730469,30062.064404296878,1.0341802015995359e-05
30062.064404296878,31387.410571289063,1.0285494564002673e-05
31387.410571289063,32712.756738281252,8.802731661527812e-06
32712.756738281252,34038.10290527344,9.910111550717904e-06
34038.10290527344,35363.44907226563,9.947649852046354e-06
35363.44907226563,36688.795239257815,8.46488694957152e-06
36688.795239257815,38014.141406250004,8.859039113520526e-06
38014.141406250004,39339.48757324219,9.121807222819862e-06
39339.48757324219,40664.833740234375,8.765193360199383e-06
40664.833740234375,41990.179907226564,7.920581580308606e-06
41990.179907226564,43315.52607421875,8.22088799093642e-06
43315.52607421875,44640.87224121094,7.657813471009269e-06
44640.87224121094,45966.21840820313,7.488891115031122e-06
45966.21840820313,47291.56457519531,6.7944325404543396e-06
47291.56457519531,48616.9107421875,7.488891115031122e-06
48616.9107421875,49942.25690917969,6.888278293775494e-06
49942.25690917969,51267.60307617188,7.16981555373907e-06
51267.60307617188,52592.94924316407,6.34397292451258e-06
52592.94924316407,53918.29541015625,6.512895280490761e-06
53918.29541015625,55243.64157714844,8.070734785622512e-06
55243.64157714844,56568.98774414063,6.92581659510397e-06
56568.98774414063,57894.33391113282,6.963354896432447e-06
57894.33391113282,59219.680078125006,7.319968759052977e-06
59219.680078125006,60545.026245117195,7.545198567023838e-06
60545.026245117195,61870.37241210938,7.0008931977609625e-06
61870.37241210938,63195.718579101565,7.188584704403308e-06
63195.718579101565,64521.064746093754,7.4138145123741685e-06
64521.064746093754,65846.41091308594,6.92581659510397e-06
65846.41091308594,67171.75708007812,6.062435664549037e-06
67171.75708007812,68497.10324707032,6.756894239125788e-06
68497.10324707032,69822.4494140625,6.606741033811954e-06
69822.4494140625,71147.7955810547,5.461822843293345e-06
71147.7955810547,72473.14174804688,4.711056816723865e-06
72473.14174804688,73798.48791503906,4.129213146132471e-06
73798.48791503906,75123.83408203126,2.9279875036211744e-06
75123.83408203126,76449.18024902344,1.7267618611099425e-06
76449.18024902344,77774.52641601564,1.2199947931754894e-06
77774.52641601564,79099.87258300782,3.753830132847701e-07
79099.87258300782,80425.21875,1.1261490398543104e-07
