Layer,pruned_x,pruned_y,mean_x,mean_y
3,-14.628474,-1.973324,-14.666822,-1.9706345
4,-14.156169,-1.8594495,-14.139361,-1.8735878
5,-12.932563,-2.0198321,-12.956408,-1.9821926
6,-13.0289955,-1.997457,-13.15437,-1.8200796
7,-11.690323,-2.2845724,-11.699512,-2.091547
8,-11.145454,-2.7175016,-11.122601,-2.3277714
9,-10.149415,-3.5238245,-10.141901,-2.6826677
10,-10.586029,-3.3532457,-10.721309,-2.1889277
11,-11.4317045,-3.584906,-11.517044,-1.7735271
12,-11.201767,-4.020404,-11.5063715,-1.538096
13,-11.243336,-4.9847064,-11.24808,-1.3405712
14,-11.400421,-5.980218,-11.693586,-0.80198413
15,-9.820133,-6.8868217,-10.08898,0.073274516
16,-7.2463975,-9.2459545,-8.211085,0.07170544
17,-3.603975,-12.875362,-5.521408,-0.37423
18,-3.4160376,-12.60439,-4.978034,2.2096124
19,-1.948974,-14.108988,-3.5490844,3.0032735
20,0.79975826,-12.700187,-0.5808589,8.824617
21,8.878356,-12.884904,4.7744336,12.5079
22,18.131191,-16.106535,13.537672,10.313733
23,36.788456,-11.894932,33.320717,15.798609
24,37.645382,-21.67003,35.860344,6.926181
25,64.00944,-35.54641,66.04933,-9.235037
26,24.43252,-33.396267,21.848824,-3.9060295
