Layer,pruned_x,pruned_y,mean_x,mean_y
3,-13.51613,1.4725851,-13.54702,1.3659683
4,-13.504923,1.545061,-13.486534,1.3989993
5,-12.602477,1.4469318,-12.249338,1.118676
6,-12.840243,1.0994451,-12.63558,0.78243876
7,-12.101941,0.71843016,-11.473822,-0.47089237
8,-11.574041,0.5023612,-10.836772,-1.3173875
9,-10.589138,0.93040866,-9.884213,-1.8463554
10,-11.440089,1.7743462,-10.793513,-1.2631528
11,-11.375854,1.8588774,-11.008169,-1.3768699
12,-10.925464,2.2689638,-10.770972,-1.2841418
13,-11.16244,2.8242307,-10.629199,-1.4167757
14,-11.505927,4.622886,-10.5256195,-1.5877982
15,-10.911936,6.5838895,-9.451851,-2.1399121
16,-9.035833,6.502085,-7.0168357,-3.7517517
17,-7.8096905,9.066317,-4.390461,-4.1360273
18,-8.429354,10.998515,-4.1310663,-3.5052342
19,-7.765196,13.431103,-2.5111842,-3.6273372
20,-6.228363,15.13312,0.7998441,-3.6821625
21,-2.5714943,17.480768,7.1981506,-3.5307832
22,2.8884215,21.895292,13.66979,-1.9680713
23,17.68166,31.200033,31.82342,5.4329305
24,19.690912,32.093155,34.704334,3.3840878
25,38.10236,30.17021,60.406578,0.064586446
26,9.703473,37.27862,27.522406,-1.9327987
