Layer,pruned_x,pruned_y,mean_x,mean_y
3,-15.344233,-2.0934098,-15.4812565,-2.0767343
4,-14.903855,-1.6543572,-15.009142,-1.7099893
5,-13.513054,-1.8661608,-13.80694,-1.7386847
6,-14.013945,-2.0448442,-14.290255,-1.7926426
7,-12.43129,-2.9351344,-12.918111,-2.1099257
8,-11.448138,-4.001449,-12.321379,-2.508122
9,-10.273163,-5.1518426,-11.217974,-2.7813497
10,-11.233869,-5.0975256,-12.1123495,-2.2943451
11,-11.817333,-5.8966746,-12.678484,-1.7819465
12,-11.343028,-6.9063306,-12.067827,-1.7347959
13,-11.289065,-8.172799,-12.017049,-0.84002095
14,-10.791457,-10.0864,-12.146759,-1.2778633
15,-9.174929,-11.480731,-10.760702,-0.1820968
16,-5.6980677,-15.005109,-8.569307,-1.02253
17,-0.6386279,-20.03219,-5.8960524,-1.4946411
18,-0.33399674,-20.471354,-5.329737,0.6838223
19,2.3129041,-22.4622,-3.8873017,1.5970442
20,5.451753,-22.450657,-0.8723013,6.7280493
21,15.475203,-23.208393,4.720379,10.146134
22,24.442022,-25.082428,12.28294,9.025119
23,43.43035,-22.726574,33.214455,12.195027
24,44.985546,-25.60172,35.7174,8.774679
25,68.860954,-30.393316,73.958115,3.4385262
26,34.508183,-31.706066,23.96775,5.4100466
