Layer,pruned_x,pruned_y,mean_x,mean_y
3,-13.634988,2.0764287,-13.778887,2.029519
4,-13.538678,2.076492,-13.619585,1.9282948
5,-12.611074,2.0858552,-12.520124,1.5140125
6,-12.98768,1.9267828,-13.05307,1.4190805
7,-12.533606,1.5461266,-12.096434,0.17715363
8,-12.0983095,1.3557737,-11.463978,-0.59345025
9,-11.214747,1.5805424,-10.553033,-0.987268
10,-11.773744,2.072083,-11.385789,-0.58862746
11,-11.841829,2.3826714,-11.655685,-0.6273247
12,-11.540917,2.9320133,-11.429548,-0.39378363
13,-11.60074,3.518444,-11.231543,-0.44744402
14,-12.186086,4.3949456,-11.102932,-0.4541892
15,-11.58304,5.1904902,-9.96609,-0.7728123
16,-10.394695,4.481057,-7.6285806,-2.7074707
17,-9.085494,5.814874,-4.959129,-3.593268
18,-9.640725,8.232078,-4.606889,-2.4157357
19,-9.412848,9.558786,-2.885162,-2.8256886
20,-8.005685,10.67705,0.9662199,-2.5774736
21,-4.6039667,12.826541,7.6693945,-1.8671854
22,0.71269906,14.152335,14.939845,-0.23205967
23,15.118037,19.757559,34.133408,5.3706656
24,15.771159,16.840334,36.7104,1.0263004
25,36.144524,12.138853,63.11084,-3.882501
26,-2.6701865,15.45929,30.927622,-4.806479
