Layer,pruned_x,pruned_y,mean_x,mean_y
3,-16.848827,3.4894621,-16.892597,3.5681713
4,-16.381207,3.7023306,-16.399036,3.7633033
5,-15.337429,4.0631213,-15.30926,4.1152124
6,-15.603724,3.6760585,-15.608935,3.675012
7,-14.565021,4.0086274,-14.620203,4.0627284
8,-14.297832,4.2980866,-14.389972,4.3848205
9,-13.218259,4.3601995,-13.381169,4.3523297
10,-13.835611,3.836608,-14.038109,3.7477937
11,-14.153711,3.3131738,-14.425535,3.1926832
12,-13.889548,3.0891485,-14.068212,2.8532507
13,-12.77754,2.5513403,-13.018091,2.3087173
14,-13.035574,1.7640237,-13.126877,1.7912438
15,-11.308705,1.4201362,-11.164474,1.7544835
16,-9.245448,1.2809126,-9.082599,2.094748
17,-5.213837,0.9680036,-5.716523,2.4016178
18,-2.7795296,-3.7142563,-3.8188405,-1.0346446
19,0.46916777,-8.647715,-0.9920066,-4.5424833
20,5.9880233,-23.806963,4.2435694,-17.303837
21,13.166294,-32.81659,10.482107,-22.75708
22,19.091194,-28.193161,16.880802,-17.468376
23,41.58963,-33.43427,38.678516,-21.038052
24,44.412907,-19.232965,39.679764,-1.7510426
25,73.00825,20.434729,69.20592,31.586807
26,35.454796,7.4973645,23.812914,13.85184
