Layer,pruned_x,pruned_y,mean_x,mean_y
3,13.860584,-1.3183447,14.041412,-1.2879229
4,13.8614855,-1.2238306,13.993718,-1.1182783
5,13.037793,-1.8214171,12.771429,-1.2425311
6,13.513171,-1.5711143,13.3486,-1.0156529
7,12.618209,-1.3444709,12.278173,-0.59194684
8,12.576191,-2.1345193,11.835907,-1.1792676
9,12.033081,-1.8735712,11.235728,-0.5530008
10,12.278306,-3.114681,11.804768,-1.6273657
11,11.823666,-3.0217483,11.915205,-1.1081722
12,11.032654,-3.8907142,11.67002,-1.5930195
13,11.047951,-3.7015157,11.58068,-1.1983316
14,10.246006,-6.5204034,11.296335,-2.4800394
15,9.232908,-7.8956866,10.133852,-2.293503
16,6.3123846,-7.7093287,7.3143067,-0.6769683
17,4.335965,-9.375327,4.6463075,-0.38614482
18,4.5848246,-9.830437,4.820608,0.3917555
19,2.731568,-10.9717655,2.7132204,1.3237756
20,-0.21886456,-10.986151,-0.6920509,2.358184
21,-6.562115,-9.280439,-7.855172,4.391205
22,-13.334685,-9.027789,-15.148799,5.821034
23,-30.975103,-9.859056,-33.397938,6.11453
24,-33.75512,-11.389733,-34.748898,5.3776507
25,-56.705868,-10.170253,-59.06922,8.140779
26,-26.890368,-18.539808,-27.156641,0.09043884
