Layer,pruned_x,pruned_y,mean_x,mean_y
3,-15.609538,-0.91435915,-15.639101,-0.8678835
4,-15.336195,-0.7725428,-15.357859,-0.70458204
5,-14.521213,-1.0211691,-14.433644,-0.91667193
6,-14.67213,-1.2765778,-14.717583,-0.9993907
7,-13.310501,-2.1660748,-13.381413,-1.7772734
8,-13.002641,-2.6996076,-12.905818,-2.2211013
9,-12.081126,-3.9722955,-11.971528,-3.0383477
10,-12.341303,-4.309809,-12.646313,-2.6659865
11,-12.876465,-4.1970468,-13.293208,-1.9375219
12,-12.222678,-5.318005,-12.862048,-1.660157
13,-12.300813,-5.9765196,-12.603325,-1.0457451
14,-12.093863,-7.8269453,-12.912561,-0.8622093
15,-10.333447,-9.220683,-11.608758,-0.45911923
16,-6.7688913,-12.250716,-9.723238,-0.7713687
17,-1.7720802,-17.25207,-6.461192,-1.4489334
18,-1.1223499,-18.4932,-5.712292,0.64502746
19,3.3342993,-21.34213,-3.4354432,2.479768
20,8.006334,-21.159252,1.4529583,10.2115
21,17.73265,-20.693089,8.342001,15.818594
22,26.152143,-25.679548,16.090885,12.351619
23,45.995155,-30.29417,34.64054,10.52792
24,49.23857,-36.54214,37.73188,6.6382356
25,71.60025,-52.54676,65.28811,-7.808136
26,36.28231,-45.71377,28.3213,5.675617
