Layer,pruned_x,pruned_y,mean_x,mean_y
3,-12.956901,-0.189364,-13.05132,-0.4047277
4,-12.608626,-0.25036678,-12.726608,-0.4832631
5,-11.996895,-0.24632923,-11.819409,-0.6415774
6,-12.13525,-0.25715742,-12.187894,-0.56264055
7,-11.478418,0.12083364,-11.288684,-0.21936885
8,-11.539628,0.047236305,-11.152246,-0.1777573
9,-10.776411,-0.46587875,-10.357038,-0.53061944
10,-11.526813,0.2315854,-10.880955,0.65413475
11,-11.651741,-1.1442565,-10.894766,0.10371157
12,-11.437624,-1.4745786,-10.6392565,0.21286833
13,-11.202216,-2.0472662,-10.392523,0.2329643
14,-11.5350485,-2.4132452,-10.446016,0.6436412
15,-10.859579,-4.1528454,-9.03141,0.09149834
16,-9.42856,-4.770466,-6.838,0.5090757
17,-8.4034195,-6.175983,-4.7147536,0.5426301
18,-9.600279,-7.2652197,-4.433429,0.28569043
19,-8.514437,-7.9189987,-2.6683824,1.0401741
20,-6.2276945,-6.993655,0.042378046,3.1676471
21,-1.2457774,-7.7592463,6.3613377,3.331141
22,5.450782,-7.692869,13.662668,3.6449037
23,21.53969,-6.35094,31.888693,5.927498
24,23.622025,-12.162542,34.69683,1.1260797
25,44.490128,-20.564804,59.087685,-7.1592407
26,13.06466,-14.668227,26.478903,0.12199144
