Layer,pruned_x,pruned_y,mean_x,mean_y
3,-17.425024,-2.1800644,-17.712025,-2.1807575
4,-17.375149,-2.56526,-17.563084,-2.6274111
5,-16.35399,-2.541994,-16.436945,-2.7908003
6,-16.164413,-2.2379563,-16.441591,-2.5011177
7,-15.199575,-1.7138265,-15.2283125,-2.180525
8,-14.879873,-0.82754004,-14.6723,-1.6825495
9,-14.0418005,-0.23669045,-13.952736,-1.7621225
10,-13.969818,1.3162322,-14.488176,-0.9282354
11,-14.048055,2.5124843,-14.816007,-0.9235819
12,-13.25225,5.0304494,-14.247129,-0.6508368
13,-12.847957,7.1158237,-13.830381,-0.36218882
14,-12.396613,10.105146,-13.309835,0.87354314
15,-9.875272,11.33055,-11.554027,0.11345525
16,-7.4652615,12.926868,-9.004334,0.59646016
17,-4.371808,15.529647,-5.567872,0.86097956
18,-3.4813843,17.250948,-4.7659326,1.8310845
19,1.0277435,20.614246,-2.104218,2.9384248
20,5.1717315,24.815224,2.5421815,4.9523473
21,12.854727,25.424013,9.927601,4.180152
22,22.125645,23.706484,18.925058,1.8436588
23,44.000526,25.245829,40.40833,1.6754307
24,46.656246,21.073072,42.306595,-5.094859
25,67.897514,11.500837,69.16186,-14.201494
26,33.625256,18.495667,29.402164,-6.148079
