Layer,pruned_x,pruned_y,mean_x,mean_y
3,-16.447529,3.3944929,-16.514946,3.4142234
4,-16.13753,3.6590776,-16.083315,3.7189717
5,-15.138149,3.9011757,-14.996065,3.9656518
6,-15.565513,3.2638564,-15.351947,3.4033768
7,-14.58276,3.7156808,-14.221896,3.852092
8,-14.370646,4.168723,-14.074205,4.2295613
9,-13.59966,4.386906,-13.341127,4.3280725
10,-14.136921,3.6988528,-13.885153,3.6691253
11,-14.310412,2.9345253,-14.185344,3.0425665
12,-13.809013,2.7462752,-13.786291,2.832851
13,-12.783573,2.2486124,-12.849516,2.5053632
14,-13.550784,1.9043423,-13.439041,2.053266
15,-11.693619,1.6032869,-11.630197,1.869469
16,-9.679695,1.7518767,-9.280855,2.2696462
17,-6.2484813,1.6889217,-6.187891,2.3613856
18,-4.5424895,-1.7086579,-4.737088,-0.7769101
19,-2.9519153,-3.9908845,-2.409924,-3.9363136
20,3.5379546,-18.261135,3.4720638,-15.9928875
21,12.790332,-29.815485,11.12657,-24.201082
22,19.313242,-28.29765,17.387806,-20.842754
23,39.583694,-31.650085,37.62877,-22.67445
24,41.47286,-12.6700115,38.737587,-3.439923
25,73.787506,28.362501,70.4073,33.62166
26,39.511124,13.512351,26.169891,14.672289
